Site,Operation,RecordCount,StartDate,EndDate
2DayRetention,PageViewed,83,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
2DayRetention,FileAccessed,63,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
2DayRetention,FileDownloaded,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
Pharmacy,PageViewed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
Pharmacy,FileAccessed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
Pharmacy,FileDownloaded,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
Radiation-Imaging,PageViewed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
Radiation-Imaging,FileAccessed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
Radiation-Imaging,FileDownloaded,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
geetkteam,PageViewed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
geetkteam,FileAccessed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
geetkteam,FileDownloaded,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
New365Site5,PageViewed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
New365Site5,FileAccessed,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
New365Site5,FileDownloaded,0,2025-04-01T04:00:00Z,2025-05-01T03:59:59Z
